sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230323NY071023680A	ok	nymc	0.5582717453098351	yes	solver_warning	9	4	ok
20230619NY067030317A	ok	suny_upstate	0.9525465672340568	yes	ok	42	42	ok
20230314NY103065358A	ok	wadsworth	0.2330535397786176	no	NA	NA	NA	low_coverage
20230124NY071024422A	ok	wadsworth	0.0178577400260843	no	NA	NA	NA	low_coverage
20230625NY119100803A	ok	nymc	1.4210854715202004e-16	no	NA	NA	NA	low_coverage
20230215NY071026522A	ok	nymc	0.9862890011035682	yes	ok	72	72	ok
20230125NY119026719A	ok	nymc	0.0041801825903756	no	NA	NA	NA	low_coverage
20230316NY065025780B	ok	wadsworth	0.0418018259037559	no	NA	NA	NA	low_coverage
20230501NY059026999A	ok	wadsworth	0.5941544326656188	yes	solver_warning	9	8	ok
20230627NY001025739A	ok	wadsworth	0.9751529946828076	yes	ok	65	63	ok
20230808NY051024384A	ok	u_of_rochester	0.9724442363642444	yes	ok	32	32	ok
20230604NY119026701A	ok	nymc	0.9754539678293148	yes	ok	108	108	ok
20230223NY059026778A	ok	wadsworth	0.9822091428953617	yes	ok	50	50	ok
20230522NY045025984A	ok	suny_upstate	4.263256414560601e-16	no	NA	NA	NA	low_coverage
20230614NY075029114A	ok	suny_upstate	0.7345082433200681	yes	solver_warning	10	8	ok
20230327NY063026336A	ok	suny_buffalo	0.8765006855499448	yes	ok	44	39	ok
20230116NY119100803A	ok	nymc	0.9208440624686486	yes	solver_warning	49	45	ok
20230810NY051032328A	ok	u_of_rochester	0.9648864662408454	yes	ok	37	36	ok
20230710NY027026255A	ok	nymc	0.86275624519279	yes	solver_warning	27	25	ok
20230302NY103021750A	ok	wadsworth	0.9177005651606862	yes	solver_warning	13	13	ok
20230208NY055028231A	ok	u_of_rochester	5.685048322911e-4	no	NA	NA	NA	low_coverage
