sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230417NY065030864A	no_file	NA	NA	NA	NA	NA	no_file
20230222NY087270598A	no_file	NA	NA	NA	NA	NA	no_file
20230228NY053028525A	no_file	NA	NA	NA	NA	NA	no_file
20230424NY045025984A	no_file	NA	NA	NA	NA	NA	no_file
20230425NY093020516A	no_file	NA	NA	NA	NA	NA	no_file
20230212NY067030571A	no_file	NA	NA	NA	NA	NA	no_file
20230315NY027026271A	no_file	NA	NA	NA	NA	NA	no_file
20230131NY025029271A	no_file	NA	NA	NA	NA	NA	no_file
20230202NY007024414B	no_file	NA	NA	NA	NA	NA	no_file
20230220NY043036528A	no_file	NA	NA	NA	NA	NA	no_file
20230112NY101023906A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY109026638A	no_file	NA	NA	NA	NA	NA	no_file
20230315NY103020061A	no_file	NA	NA	NA	NA	NA	no_file
20230321NY031022187A	no_file	NA	NA	NA	NA	NA	no_file
20230417NY001026875A	no_file	NA	NA	NA	NA	NA	no_file
20230308NY111029351A	no_file	NA	NA	NA	NA	NA	no_file
20230416NY067030317A	no_file	NA	NA	NA	NA	NA	no_file
20230413NY029022136A	no_file	NA	NA	NA	NA	NA	no_file
20230314NY113029050A	no_file	NA	NA	NA	NA	NA	no_file
20230427NY089020818A	no_file	NA	NA	NA	NA	NA	no_file
20230419NY031022187A	no_file	NA	NA	NA	NA	NA	no_file
20230406NY113029050A	no_file	NA	NA	NA	NA	NA	no_file
20230411NY073028401A	no_file	NA	NA	NA	NA	NA	no_file
20230330NY029026395C	no_file	NA	NA	NA	NA	NA	no_file
20230411NY089236586A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY059026450A	no_file	NA	NA	NA	NA	NA	no_file
20230328NY093020516A	no_file	NA	NA	NA	NA	NA	no_file
20230419NY075029114A	no_file	NA	NA	NA	NA	NA	no_file
20230314NY089236586A	no_file	NA	NA	NA	NA	NA	no_file
20230222NY123029726A	no_file	NA	NA	NA	NA	NA	no_file
20230327NY059026859A	no_file	NA	NA	NA	NA	NA	no_file
20230417NY033029939A	no_file	NA	NA	NA	NA	NA	no_file
20230314NY071031518A	no_file	NA	NA	NA	NA	NA	no_file
20230213NY045025984A	no_file	NA	NA	NA	NA	NA	no_file
20230403NY113029050A	no_file	NA	NA	NA	NA	NA	no_file
20230322NY087028533A	no_file	NA	NA	NA	NA	NA	no_file
20230328NY089020818A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY019026018A	no_file	NA	NA	NA	NA	NA	no_file
20230312NY119108324A	no_file	NA	NA	NA	NA	NA	no_file
20230426NY087270598A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY077031151A	no_file	NA	NA	NA	NA	NA	no_file
20230419NY111029351A	no_file	NA	NA	NA	NA	NA	no_file
20230215NY031021733A	no_file	NA	NA	NA	NA	NA	no_file
20230227NY045025984B	no_file	NA	NA	NA	NA	NA	no_file
20230329NY031021733A	no_file	NA	NA	NA	NA	NA	no_file
20230329NY055028231A	no_file	NA	NA	NA	NA	NA	no_file
20230420NY097271942A	no_file	NA	NA	NA	NA	NA	no_file
20230405NY015035742A	no_file	NA	NA	NA	NA	NA	no_file
20230328NY001025739A	no_file	NA	NA	NA	NA	NA	no_file
20230215NY083087971A	no_file	NA	NA	NA	NA	NA	no_file
20230313NY089031194A	no_file	NA	NA	NA	NA	NA	no_file
20230323NY103021750A	no_file	NA	NA	NA	NA	NA	no_file
20230430NY055028339A	no_file	NA	NA	NA	NA	NA	no_file
20230419NY051024449A	no_file	NA	NA	NA	NA	NA	no_file
20230316NY101023906A	no_file	NA	NA	NA	NA	NA	no_file
20230419NY119026719A	no_file	NA	NA	NA	NA	NA	no_file
20230227NY043036528A	no_file	NA	NA	NA	NA	NA	no_file
20230314NY103206644A	no_file	NA	NA	NA	NA	NA	no_file
20230214NY101023906A	no_file	NA	NA	NA	NA	NA	no_file
20230418NY071026328A	no_file	NA	NA	NA	NA	NA	no_file
20230328NY071026310A	no_file	NA	NA	NA	NA	NA	no_file
20230419NY015035742A	no_file	NA	NA	NA	NA	NA	no_file
20230406NY087028533A	no_file	NA	NA	NA	NA	NA	no_file
20230406NY069023531A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY065025780B	no_file	NA	NA	NA	NA	NA	no_file
20230423NY067027081A	no_file	NA	NA	NA	NA	NA	no_file
20230320NY087031895A	no_file	NA	NA	NA	NA	NA	no_file
20230405NY083087971A	no_file	NA	NA	NA	NA	NA	no_file
20230315NY045025151A	no_file	NA	NA	NA	NA	NA	no_file
20230418NY007024414C	no_file	NA	NA	NA	NA	NA	no_file
20230419NY119026689A	no_file	NA	NA	NA	NA	NA	no_file
20230424NY035026042A	no_file	NA	NA	NA	NA	NA	no_file
20230212NY067030317A	no_file	NA	NA	NA	NA	NA	no_file
20230125NY123029726A	no_file	NA	NA	NA	NA	NA	no_file
20230427NY117027171A	no_file	NA	NA	NA	NA	NA	no_file
20230221NY109026638A	no_file	NA	NA	NA	NA	NA	no_file
20230110NY029095401A	no_file	NA	NA	NA	NA	NA	no_file
20230330NY065025780C	no_file	NA	NA	NA	NA	NA	no_file
20230109NY001026875A	no_file	NA	NA	NA	NA	NA	no_file
20230327NY001026867A	no_file	NA	NA	NA	NA	NA	no_file
20230329NY071026310A	no_file	NA	NA	NA	NA	NA	no_file
20230417NY043036528A	no_file	NA	NA	NA	NA	NA	no_file
20230328NY103021750A	no_file	NA	NA	NA	NA	NA	no_file
20230220NY067027081A	no_file	NA	NA	NA	NA	NA	no_file
20230413NY001025739A	no_file	NA	NA	NA	NA	NA	no_file
20230216NY099033308A	no_file	NA	NA	NA	NA	NA	no_file
20230420NY087028851A	no_file	NA	NA	NA	NA	NA	no_file
20230321NY103079324A	no_file	NA	NA	NA	NA	NA	no_file
20230228NY059026778A	no_file	NA	NA	NA	NA	NA	no_file
20230330NY029022543A	no_file	NA	NA	NA	NA	NA	no_file
20230413NY101021431A	no_file	NA	NA	NA	NA	NA	no_file
20230410NY103104809A	no_file	NA	NA	NA	NA	NA	no_file
20230425NY055021610A	no_file	NA	NA	NA	NA	NA	no_file
20230308NY049020125A	no_file	NA	NA	NA	NA	NA	no_file
20230420NY029026395B	no_file	NA	NA	NA	NA	NA	no_file
20230423NY067027618A	no_file	NA	NA	NA	NA	NA	no_file
20230202NY071026310A	no_file	NA	NA	NA	NA	NA	no_file
20230220NY067030317A	no_file	NA	NA	NA	NA	NA	no_file
20230306NY001026875A	no_file	NA	NA	NA	NA	NA	no_file
20230227NY001026875A	no_file	NA	NA	NA	NA	NA	no_file
20230406NY097271942A	no_file	NA	NA	NA	NA	NA	no_file
20230302NY101023906A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY053029807A	no_file	NA	NA	NA	NA	NA	no_file
20230322NY031021733A	no_file	NA	NA	NA	NA	NA	no_file
20230425NY071026328A	no_file	NA	NA	NA	NA	NA	no_file
20230410NY063027057A	no_file	NA	NA	NA	NA	NA	no_file
20230424NY065025780B	no_file	NA	NA	NA	NA	NA	no_file
20230329NY087270598A	no_file	NA	NA	NA	NA	NA	no_file
20230413NY007024414B	no_file	NA	NA	NA	NA	NA	no_file
20230222NY055028231A	no_file	NA	NA	NA	NA	NA	no_file
20230413NY065025780C	no_file	NA	NA	NA	NA	NA	no_file
20230316NY029095401A	no_file	NA	NA	NA	NA	NA	no_file
20230214NY029095401A	no_file	NA	NA	NA	NA	NA	no_file
20230425NY089236586A	no_file	NA	NA	NA	NA	NA	no_file
20230403NY091028240A	no_file	NA	NA	NA	NA	NA	no_file
20230308NY123029726A	no_file	NA	NA	NA	NA	NA	no_file
20230316NY051032328A	no_file	NA	NA	NA	NA	NA	no_file
20230330NY035026042A	no_file	NA	NA	NA	NA	NA	no_file
20230328NY111029351A	no_file	NA	NA	NA	NA	NA	no_file
20230227NY059026859A	no_file	NA	NA	NA	NA	NA	no_file
