callout_group,lineage
XBB,XBB.1.48
XBB,XBB.1.49
XBB.1.5,XBB.1.5
XBB.1.5,XBB.1.5.1
XBB.1.5,XBB.1.5.10
XBB.1.5,XBB.1.5.100
XBB.1.5,XBB.1.5.101
XBB.1.5,XBB.1.5.102
XBB.1.5,XBB.1.5.103
XBB.1.5,XBB.1.5.104
XBB.1.5,XBB.1.5.105
XBB.1.5,XBB.1.5.106
XBB.1.5,XBB.1.5.107
XBB.1.5,XBB.1.5.108
XBB.1.5,XBB.1.5.109
XBB.1.5,XBB.1.5.11
XBB.1.5,XBB.1.5.110
XBB.1.5,XBB.1.5.12
XBB.1.5,XBB.1.5.13
XBB.1.5,XBB.1.5.14
XBB.1.5,XBB.1.5.15
XBB.1.5,XBB.1.5.16
XBB.1.5,XBB.1.5.17
XBB.1.5,XBB.1.5.18
XBB.1.5,XBB.1.5.19
XBB.1.5,XBB.1.5.2
XBB.1.5,XBB.1.5.20
XBB.1.5,XBB.1.5.21
XBB.1.5,XBB.1.5.22
XBB.1.5,XBB.1.5.23
XBB.1.5,XBB.1.5.24
XBB.1.5,XBB.1.5.25
XBB.1.5,XBB.1.5.26
XBB.1.5,XBB.1.5.27
XBB.1.5,XBB.1.5.28
XBB.1.5,XBB.1.5.29
XBB.1.5,XBB.1.5.3
XBB.1.5,XBB.1.5.30
XBB.1.5,XBB.1.5.31
XBB.1.5,XBB.1.5.32
XBB.1.5,XBB.1.5.33
XBB.1.5,XBB.1.5.34
XBB.1.5,XBB.1.5.35
XBB.1.5,XBB.1.5.36
XBB.1.5,XBB.1.5.37
XBB.1.5,XBB.1.5.38
XBB.1.5,XBB.1.5.39
XBB.1.5,XBB.1.5.4
XBB.1.5,XBB.1.5.40
XBB.1.5,XBB.1.5.41
XBB.1.5,XBB.1.5.42
XBB.1.5,XBB.1.5.43
XBB.1.5,XBB.1.5.44
XBB.1.5,XBB.1.5.45
XBB.1.5,XBB.1.5.46
XBB.1.5,XBB.1.5.47
XBB.1.5,XBB.1.5.48
XBB.1.5,XBB.1.5.49
XBB.1.5,XBB.1.5.5
XBB.1.5,XBB.1.5.50
XBB.1.5,XBB.1.5.51
XBB.1.5,XBB.1.5.52
XBB.1.5,XBB.1.5.53
XBB.1.5,XBB.1.5.54
XBB.1.5,XBB.1.5.55
XBB.1.5,XBB.1.5.56
XBB.1.5,XBB.1.5.57
XBB.1.5,XBB.1.5.58
XBB.1.5,XBB.1.5.59
XBB.1.5,XBB.1.5.6
XBB.1.5,XBB.1.5.60
XBB.1.5,XBB.1.5.61
XBB.1.5,XBB.1.5.62
XBB.1.5,XBB.1.5.63
XBB.1.5,XBB.1.5.64
XBB.1.5,XBB.1.5.65
XBB.1.5,XBB.1.5.66
XBB.1.5,XBB.1.5.67
XBB.1.5,XBB.1.5.68
XBB.1.5,XBB.1.5.69
XBB.1.5,XBB.1.5.7
XBB.1.5,XBB.1.5.70
XBB.1.5,XBB.1.5.71
XBB.1.5,XBB.1.5.72
XBB.1.5,XBB.1.5.73
XBB.1.5,XBB.1.5.74
XBB.1.5,XBB.1.5.75
XBB.1.5,XBB.1.5.76
XBB.1.5,XBB.1.5.77
XBB.1.5,XBB.1.5.78
XBB.1.5,XBB.1.5.79
XBB.1.5,XBB.1.5.8
XBB.1.5,XBB.1.5.80
XBB.1.5,XBB.1.5.81
XBB.1.5,XBB.1.5.82
XBB.1.5,XBB.1.5.83
XBB.1.5,XBB.1.5.84
XBB.1.5,XBB.1.5.85
XBB.1.5,XBB.1.5.86
XBB.1.5,XBB.1.5.87
XBB.1.5,XBB.1.5.88
XBB.1.5,XBB.1.5.89
XBB.1.5,XBB.1.5.9
XBB.1.5,XBB.1.5.90
XBB.1.5,XBB.1.5.91
XBB.1.5,XBB.1.5.92
XBB.1.5,XBB.1.5.93
XBB.1.5,XBB.1.5.94
XBB.1.5,XBB.1.5.95
XBB.1.5,XBB.1.5.96
XBB.1.5,XBB.1.5.97
XBB.1.5,XBB.1.5.98
XBB.1.5,XBB.1.5.99
XBB,XBB.1.6
XBB,XBB.1.7
XBB,XBB.1.8
XBB.1.9,XBB.1.9
XBB.1.9,XBB.1.9.1
XBB.1.9,XBB.1.9.2
XBB.1.9,XBB.1.9.3
XBB.1.9,XBB.1.9.4
XBB.1.9,XBB.1.9.5
XBB.1.9,XBB.1.9.6
XBB.1.9,XBB.1.9.7
XBB,XBB.2
XBB,XBB.2.1
XBB,XBB.2.10
XBB,XBB.2.11
XBB,XBB.2.11.1
XBB,XBB.2.12
XBB,XBB.2.2
XBB,XBB.2.3
XBB,XBB.2.3.1
XBB,XBB.2.3.10
XBB,XBB.2.3.11
XBB,XBB.2.3.12
XBB,XBB.2.3.13
XBB,XBB.2.3.14
XBB,XBB.2.3.15
XBB,XBB.2.3.16
XBB,XBB.2.3.17
XBB,XBB.2.3.18
XBB,XBB.2.3.19
XBB,XBB.2.3.2
XBB,XBB.2.3.20
XBB,XBB.2.3.21
XBB,XBB.2.3.22
XBB,XBB.2.3.3
XBB,XBB.2.3.4
XBB,XBB.2.3.5
XBB,XBB.2.3.6
XBB,XBB.2.3.7
XBB,XBB.2.3.8
XBB,XBB.2.3.9
XBB,XBB.2.4
XBB,XBB.2.5
XBB,XBB.2.6
XBB,XBB.2.6.1
XBB,XBB.2.6.2
XBB,XBB.2.6.3
XBB,XBB.2.7
XBB,XBB.2.7.1
XBB,XBB.2.8
XBB,XBB.2.9
XBB,XBB.3
XBB,XBB.3.1
XBB,XBB.3.2
XBB,XBB.3.3
XBB,XBB.3.4
XBB,XBB.3.5
XBB,XBB.4
XBB,XBB.4.1
XBB,XBB.5
XBB,XBB.6
XBB,XBB.6.1
XBB,XBB.7
XBB,XBB.8
XBB,XBB.8.1
XBB,XBB.8.2
XBB,XBB.9
Other,XBC
Other,XBC.1
Other,XBC.1.1
Other,XBC.1.1.1
Other,XBC.1.1.2
Other,XBC.1.2
Other,XBC.1.2.1
Other,XBC.1.3
Other,XBC.1.3.1
Other,XBC.1.4
Other,XBC.1.5
Other,XBC.1.6
Other,XBC.1.6.1
Other,XBC.1.6.2
Other,XBC.1.6.3
Other,XBC.1.6.4
Other,XBC.1.6.5
Other,XBC.1.6.6
Other,XBC.1.7
Other,XBC.1.7.1
Other,XBC.1.7.2
Other,XBC.2
Other,XBC.2.1
Other,XBD
Other,XBE
Other,XBF
Other,XBF.1
Other,XBF.1.1
Other,XBF.10
Other,XBF.2
Other,XBF.3
Other,XBF.4
Other,XBF.5
Other,XBF.6
Other,XBF.7
Other,XBF.7.1
Other,XBF.8
Other,XBF.8.1
Other,XBF.9
Other,XBG
Other,XBH
Other,XBJ
Other,XBJ.1
Other,XBJ.1.1
Other,XBJ.2
Other,XBJ.3
Other,XBJ.4
Other,XBK
Other,XBK.1
Other,XBL
Other,XBL.1
Other,XBL.2
Other,XBL.3
Other,XBL.3.1
Other,XBM
Other,XBN
Other,XBP
Other,XBQ
Other,XBR
Other,XBS
Other,XBT
Other,XBU
Other,XBV
Other,XBW
Other,XBY
Other,XBZ
Other,XC
Other,XCA
Other,XCB
Other,XCC
Other,XCD
Other,XCE
Other,XCF
Other,XCF.1
Other,XCF.2
